source,target,weight
2012:C82,2013:C1,0.7550559
2012:C82,2013:C2,1.4718794000000002
2012:C82,2013:C4,1.370307
2012:C82,2013:C5,0.6048179
2012:C82,2013:C52,0.6049289
2013:C0,2014:C0,175.04337262
2013:C0,2014:C1,40.16313439
2013:C0,2014:C15,6.40086652
2013:C0,2014:C2,26.74574042
2013:C0,2014:C3,13.10669223
2013:C0,2014:C36,10.30096658
2013:C0,2014:C4,16.32559754
2013:C0,2014:C40,12.42375129
2013:C0,2014:C5,7.55868203
2013:C0,2014:C6,13.85650319
2013:C1,2014:C0,4.59062227
2013:C1,2014:C1,1.6007608800000002
2013:C1,2014:C2,1.33948332
2013:C1,2014:C3,0.7337831
2013:C1,2014:C36,0.6008721
2013:C1,2014:C5,1.3958985400000001
2013:C1,2014:C6,0.6774027
2013:C11,2014:C0,10.58312349
2013:C11,2014:C1,2.3267451
2013:C11,2014:C15,0.74299014
2013:C11,2014:C2,1.4599098000000001
2013:C11,2014:C3,0.7370379
2013:C11,2014:C36,0.75548905
2013:C11,2014:C4,0.83830345
2013:C11,2014:C40,1.0
2013:C11,2014:C6,0.72750705
2013:C2,2014:C0,33.70998463
2013:C2,2014:C1,7.87381708
2013:C2,2014:C14,1.9413961
2013:C2,2014:C15,1.3603505999999999
2013:C2,2014:C2,7.26707675
2013:C2,2014:C3,2.26297293
2013:C2,2014:C36,2.13251186
2013:C2,2014:C4,3.05509056
2013:C2,2014:C40,2.19468614
2013:C2,2014:C5,2.80867069
2013:C2,2014:C6,2.44571826
2013:C4,2014:C0,22.17401201
2013:C4,2014:C1,6.62145617
2013:C4,2014:C14,0.6277592
2013:C4,2014:C15,0.6899841
2013:C4,2014:C2,5.3285050599999995
2013:C4,2014:C3,2.7454086699999998
2013:C4,2014:C36,1.33059752
2013:C4,2014:C4,2.76299411
2013:C4,2014:C40,1.57670939
2013:C4,2014:C5,2.98348867
2013:C4,2014:C6,2.840981
2013:C42,2014:C0,6.91521762
2013:C42,2014:C1,1.30570497
2013:C42,2014:C2,0.74948394
2013:C42,2014:C3,0.63157296
2013:C42,2014:C4,0.8058716
2013:C42,2014:C40,0.68423444
2013:C42,2014:C6,0.7505319
2013:C5,2014:C0,11.14979603
2013:C5,2014:C1,3.7727498099999996
2013:C5,2014:C14,1.0000001
2013:C5,2014:C15,0.6114302
2013:C5,2014:C2,2.11599657
2013:C5,2014:C3,0.6876556
2013:C5,2014:C36,0.61778367
2013:C5,2014:C4,0.6377846
2013:C5,2014:C40,0.7282511
2013:C5,2014:C5,0.7545197
2013:C5,2014:C6,0.67040396
2013:C52,2014:C0,4.64672586
2013:C52,2014:C1,1.4089152600000001
2013:C52,2014:C2,0.6877061
2013:C52,2014:C3,1.33576017
2013:C52,2014:C5,1.37524521
2013:C52,2014:C6,0.6148343
2013:C63,2014:C0,2.17719301
2013:C63,2014:C1,0.8630325
2013:C63,2014:C3,0.9999999
2013:C63,2014:C5,0.74193615
2013:C67,2014:C0,9.02276562
2013:C67,2014:C1,2.42370151
2013:C67,2014:C14,0.6264325
2013:C67,2014:C15,0.63542044
2013:C67,2014:C2,1.4159852
2013:C67,2014:C3,0.6758516
2013:C67,2014:C36,0.63621634
2013:C67,2014:C4,0.67300206
2013:C67,2014:C40,0.7784372
2013:C67,2014:C6,0.68475515
2013:C7,2014:C0,6.46791647
2013:C7,2014:C1,2.07114703
2013:C7,2014:C15,0.6140014
2013:C7,2014:C2,0.7556411
2013:C7,2014:C3,0.6488048
2013:C7,2014:C36,0.60602015
2013:C7,2014:C4,0.64178824
2013:C7,2014:C40,0.64961153
2013:C7,2014:C6,0.6544606
2013:C8,2014:C0,2.77322257
2013:C8,2014:C1,0.76340127
2013:C8,2014:C2,1.49172293
2013:C8,2014:C3,0.7047286
2013:C8,2014:C4,0.8845852
2013:C8,2014:C5,1.4736114
2013:C8,2014:C6,0.7311424
2013:C9,2014:C0,2.7635186000000003
2013:C9,2014:C1,1.47500717
2013:C9,2014:C2,1.4660229
2013:C9,2014:C3,1.3778611
2013:C9,2014:C4,0.9300589
2013:C9,2014:C5,1.5262750299999999
2013:C9,2014:C6,0.6682739
2014:C0,2015:C0,154.09833712
2014:C0,2015:C1,25.03547347
2014:C0,2015:C10,7.66665549
2014:C0,2015:C2,20.04851336
2014:C0,2015:C24,4.04007355
2014:C0,2015:C28,10.58312373
2014:C0,2015:C3,4.64672576
2014:C0,2015:C38,9.90283079
2014:C0,2015:C43,4.14158773
2014:C0,2015:C5,4.77539305
2014:C0,2015:C51,2.03378549
2014:C0,2015:C6,13.35287827
2014:C0,2015:C61,1.24696503
2014:C0,2015:C66,2.84067386
2014:C0,2015:C7,6.46791646
2014:C0,2015:C73,10.15293961
2014:C0,2015:C8,2.77322247
2014:C0,2015:C88,12.02692047
2014:C0,2015:C89,2.1771929
2014:C1,2015:C0,33.88584158
2014:C1,2015:C1,6.59097575
2014:C1,2015:C10,2.52122897
2014:C1,2015:C2,5.00935902
2014:C1,2015:C24,1.9133695400000001
2014:C1,2015:C28,2.3267451
2014:C1,2015:C3,1.4089152600000001
2014:C1,2015:C38,3.14631734
2014:C1,2015:C43,0.6770288
2014:C1,2015:C5,2.0197894
2014:C1,2015:C51,1.57901877
2014:C1,2015:C6,2.77363017
2014:C1,2015:C61,0.6264325
2014:C1,2015:C66,0.7919555
2014:C1,2015:C7,2.07114697
2014:C1,2015:C73,2.08059596
2014:C1,2015:C8,0.76340127
2014:C1,2015:C88,3.35988565
2014:C1,2015:C89,0.8630325
2014:C14,2015:C0,0.61920583
2014:C14,2015:C1,0.6264325
2014:C14,2015:C2,0.656
2014:C14,2015:C61,1.0
2014:C15,2015:C0,4.70572275
2014:C15,2015:C1,1.3019393400000001
2014:C15,2015:C10,0.77263033
2014:C15,2015:C2,0.6459111
2014:C15,2015:C24,1.0000001
2014:C15,2015:C28,0.74299014
2014:C15,2015:C38,0.6114302
2014:C15,2015:C7,0.6140014
2014:C15,2015:C73,0.68998396
2014:C15,2015:C88,0.6750846
2014:C2,2015:C0,23.48790237
2014:C2,2015:C1,3.58210492
2014:C2,2015:C10,1.47812666
2014:C2,2015:C2,4.22674385
2014:C2,2015:C24,0.6459111
2014:C2,2015:C28,1.4599099
2014:C2,2015:C3,0.68770605
2014:C2,2015:C38,0.7938063
2014:C2,2015:C43,1.6116963
2014:C2,2015:C5,1.48972554
2014:C2,2015:C51,1.4474157
2014:C2,2015:C6,1.76337816
2014:C2,2015:C61,1.3221902700000001
2014:C2,2015:C66,1.56295436
2014:C2,2015:C7,0.7556411
2014:C2,2015:C73,0.8236928
2014:C2,2015:C8,1.49172288
2014:C2,2015:C88,1.6316155
2014:C3,2015:C0,13.55401608
2014:C3,2015:C1,2.0698946
2014:C3,2015:C10,0.7388252
2014:C3,2015:C2,1.6316155
2014:C3,2015:C24,0.6750846
2014:C3,2015:C28,0.73703796
2014:C3,2015:C3,1.33576007
2014:C3,2015:C38,0.6876556
2014:C3,2015:C43,0.712953
2014:C3,2015:C5,0.81933635
2014:C3,2015:C51,0.73036325
2014:C3,2015:C6,0.88619936
2014:C3,2015:C66,0.67746246
2014:C3,2015:C7,0.6488048
2014:C3,2015:C73,0.7132502
2014:C3,2015:C8,0.7047286
2014:C3,2015:C88,1.0000001
2014:C3,2015:C89,0.9999999
2014:C36,2015:C0,7.06719119
2014:C36,2015:C1,1.9034453400000002
2014:C36,2015:C10,1.0000001
2014:C36,2015:C2,0.75316656
2014:C36,2015:C24,0.77263033
2014:C36,2015:C28,0.75548905
2014:C36,2015:C38,0.6177837
2014:C36,2015:C6,0.6427107
2014:C36,2015:C7,0.6060201
2014:C36,2015:C73,0.7033493
2014:C36,2015:C88,0.7388252
2014:C4,2015:C0,14.97451728
2014:C4,2015:C1,1.44281143
2014:C4,2015:C10,0.70334935
2014:C4,2015:C2,2.38664726
2014:C4,2015:C24,0.6899841
2014:C4,2015:C28,0.83830345
2014:C4,2015:C38,0.63778454
2014:C4,2015:C43,0.8829158
2014:C4,2015:C5,0.6712832
2014:C4,2015:C51,0.76299417
2014:C4,2015:C6,1.5017710000000002
2014:C4,2015:C66,1.0
2014:C4,2015:C7,0.64178824
2014:C4,2015:C73,0.99999994
2014:C4,2015:C8,0.88458514
2014:C4,2015:C88,1.39071262
2014:C40,2015:C0,10.91282746
2014:C40,2015:C1,1.598494
